,stalk-color-below-ring,stalk-shape,veil-type,gill-spacing,class,spore-print-color,stalk-surface-below-ring,ring-number,cap-shape,gill-attachment,ring-type,bruises,stalk-root,stalk-surface-above-ring,gill-color,stalk-color-above-ring,habitat,population,cap-surface,veil-color,cap-color,odor,gill-size,d-var
0,w,e,p,c,e,k,y,o,f,f,p,t,r,s,p,w,g,s,y,w,n,a,b,n
1,n,e,p,c,p,h,k,o,x,f,l,f,b,k,g,n,d,v,f,w,y,f,b,y
2,w,t,p,c,e,n,s,o,f,f,p,t,b,s,w,p,d,v,f,w,n,n,b,n
3,p,t,p,c,e,n,s,o,x,f,p,t,b,s,w,w,d,v,y,w,g,n,b,g
4,p,e,p,c,p,h,k,o,x,f,l,f,b,k,h,b,g,v,f,w,g,f,b,g
5,w,t,p,c,e,k,s,o,x,f,p,t,b,s,u,g,d,y,y,w,e,n,b,e
6,w,t,p,c,p,w,s,o,k,f,e,f,?,k,b,w,p,v,y,w,e,y,n,e
7,w,t,p,c,p,w,k,o,x,f,e,f,?,s,b,w,p,v,s,w,n,s,n,n
8,w,e,p,c,p,k,s,o,x,f,p,t,e,s,p,w,g,s,s,w,n,p,n,n
9,w,e,p,c,p,n,s,o,f,f,p,t,e,s,w,w,u,s,y,w,w,p,n,w
10,w,e,p,c,e,n,s,o,x,f,p,t,c,s,n,w,m,n,s,w,w,a,b,w
11,w,t,p,c,p,w,s,o,x,f,e,f,?,k,b,p,l,v,y,w,e,y,n,e
12,b,e,p,c,p,h,k,o,x,f,l,f,b,k,g,n,p,y,y,w,y,f,b,y
13,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,d,v,y,w,e,s,n,e
14,p,t,p,c,p,w,s,o,k,f,e,f,?,k,b,p,p,v,y,w,n,s,n,n
15,w,e,p,c,p,r,s,t,f,f,p,t,b,s,g,w,g,v,s,w,p,n,b,p
16,p,t,p,c,e,n,s,o,f,f,p,t,b,s,p,g,d,v,f,w,g,n,b,g
17,p,e,p,c,p,h,k,o,f,f,l,f,b,k,p,p,g,y,f,w,y,f,b,y
18,w,t,p,c,p,h,s,o,x,f,p,t,b,f,p,w,u,v,s,w,g,f,b,g
19,p,t,p,c,e,n,s,o,x,f,p,t,b,s,p,w,d,v,y,w,g,n,b,g
20,p,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,p,v,y,w,e,f,n,e
21,p,t,p,c,p,w,k,o,x,f,e,f,?,k,b,p,d,v,s,w,n,f,n,n
22,w,t,p,w,e,k,s,o,x,f,e,f,e,s,n,w,g,s,f,w,n,n,b,n
23,w,t,p,w,e,k,s,o,x,f,e,f,e,f,h,w,g,s,f,w,w,n,b,w
24,p,t,p,c,p,w,s,o,k,f,e,f,?,k,b,w,d,v,s,w,e,s,n,e
25,o,e,p,c,e,n,s,o,x,a,p,f,?,s,y,o,l,v,s,n,n,n,b,n
26,w,e,p,c,e,n,y,o,f,f,p,t,r,s,n,w,g,y,y,w,n,a,b,n
27,w,t,p,c,p,w,s,o,f,f,e,f,?,s,b,p,d,v,s,w,e,f,n,e
28,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,g,v,y,w,y,f,b,y
29,w,e,p,c,e,k,s,o,b,f,p,t,c,s,g,w,m,n,s,w,w,l,b,w
30,w,t,p,w,e,k,s,o,f,f,e,f,e,s,k,w,g,s,f,w,g,n,b,g
31,w,e,p,c,p,k,s,o,f,f,p,t,e,s,w,w,u,s,s,w,n,p,n,n
32,w,t,p,w,e,n,s,o,x,f,e,f,e,s,k,w,g,s,f,w,n,n,b,n
33,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,l,v,y,w,e,y,n,e
34,p,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,g,y,f,w,y,f,b,y
35,w,e,p,c,e,n,y,o,x,f,p,t,r,s,w,w,p,y,y,w,y,a,b,y
36,w,t,p,c,e,k,s,o,f,f,p,t,b,s,w,w,d,v,y,w,g,n,b,g
37,p,t,p,c,e,k,s,o,f,f,p,t,b,s,p,w,d,y,f,w,g,n,b,g
38,g,t,p,c,e,k,s,o,x,f,p,t,b,s,p,g,d,y,y,w,n,n,b,n
39,w,e,p,c,e,h,f,o,f,f,f,f,?,s,h,w,d,v,y,w,w,n,n,w
40,w,t,p,w,e,n,f,o,x,f,e,f,e,s,n,w,g,s,s,w,g,n,b,g
41,e,e,p,c,e,w,s,t,f,f,e,t,?,s,e,w,w,c,y,w,e,n,b,e
42,w,t,p,w,e,n,s,o,x,f,e,f,e,s,p,w,g,a,f,w,w,n,b,w
43,n,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,p,v,y,w,y,f,b,y
44,w,e,p,w,e,w,k,t,b,f,p,f,?,s,p,w,g,n,s,w,g,n,b,g
45,p,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,g,v,y,w,g,f,b,g
46,w,e,p,w,p,k,s,o,x,f,p,f,b,s,u,w,d,v,s,w,p,c,n,p
47,p,e,p,c,p,h,k,o,x,f,l,f,b,k,p,p,p,v,f,w,g,f,b,g
48,w,t,p,w,e,k,s,o,f,f,e,f,e,f,k,w,g,s,s,w,g,n,b,g
49,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,p,p,v,y,w,n,f,n,n
50,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,p,g,y,f,w,g,f,b,g
51,w,e,p,c,e,n,y,o,f,f,p,t,r,s,n,w,g,s,y,w,y,l,b,y
52,w,e,p,c,e,k,s,o,x,f,p,t,c,s,w,w,m,s,y,w,w,a,b,w
53,n,e,p,c,p,h,k,o,f,f,l,f,b,k,p,n,g,v,f,w,y,f,b,y
54,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,p,p,v,y,w,n,s,n,n
55,w,t,p,c,p,h,f,o,x,f,p,t,b,s,h,w,u,s,s,w,w,f,b,w
56,w,t,p,c,e,n,s,o,x,f,p,t,b,s,u,g,d,y,f,w,g,n,b,g
